id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;LOL;requests;1566654775.1484091;-0.7589008808135986;https://www.imdb.com//title/tt0120731/;https://www.imdb.com//title/tt0120731/;215300;200;True;
1;LOL;requests;1566654776.6451719;-0.6652412414550781;https://www.imdb.com//title/tt0094625/;https://www.imdb.com//title/tt0094625/;230667;200;True;
2;LOL;requests;1566654777.946764;-0.7200651168823242;https://www.imdb.com//title/tt1305806/;https://www.imdb.com//title/tt1305806/;220058;200;True;
3;LOL;requests;1566654779.3544152;-1.1260058879852295;https://www.imdb.com//title/tt0405159/;https://www.imdb.com//title/tt0405159/;222829;200;True;
4;LOL;requests;1566654781.171083;-0.723870038986206;https://www.imdb.com//title/tt0034583/;https://www.imdb.com//title/tt0034583/;224971;200;True;
5;LOL;requests;1566654782.619338;-0.8135249614715576;https://www.imdb.com//title/tt0078788/;https://www.imdb.com//title/tt0078788/;227152;200;True;
6;LOL;requests;1566654784.216883;-0.5915708541870117;https://www.imdb.com//title/tt0017136/;https://www.imdb.com//title/tt0017136/;221435;200;True;
7;LOL;requests;1566654785.504266;-0.9811379909515381;https://www.imdb.com//title/tt0076759/;https://www.imdb.com//title/tt0076759/;237795;200;True;
8;LOL;requests;1566654787.206422;-0.6692578792572021;https://www.imdb.com//title/tt0986264/;https://www.imdb.com//title/tt0986264/;243179;200;True;
9;LOL;requests;1566654788.620935;-0.849661111831665;https://www.imdb.com//title/tt3170832/;https://www.imdb.com//title/tt3170832/;225416;200;True;
10;LOL;requests;1566654790.160963;-0.711749792098999;https://www.imdb.com//title/tt0053125/;https://www.imdb.com//title/tt0053125/;225381;200;True;
11;LOL;requests;1566654791.6183481;-0.7601537704467773;https://www.imdb.com//title/tt0033467/;https://www.imdb.com//title/tt0033467/;225049;200;True;
12;LOL;requests;1566654793.0541492;-0.7389609813690186;https://www.imdb.com//title/tt0119488/;https://www.imdb.com//title/tt0119488/;226205;200;True;
13;LOL;requests;1566654794.4971268;-1.0969820022583008;https://www.imdb.com//title/tt2096673/;https://www.imdb.com//title/tt2096673/;226213;200;True;
14;LOL;requests;1566654796.2774742;-0.8075838088989258;https://www.imdb.com//title/tt0482571/;https://www.imdb.com//title/tt0482571/;220447;200;True;
15;LOL;requests;1566654797.818559;-1.013200283050537;https://www.imdb.com//title/tt2582802/;https://www.imdb.com//title/tt2582802/;228559;200;True;
16;LOL;requests;1566654799.581155;-0.98258376121521;https://www.imdb.com//title/tt0070735/;https://www.imdb.com//title/tt0070735/;226362;200;True;
17;LOL;requests;1566654801.243037;-0.6523208618164062;https://www.imdb.com//title/tt1028532/;https://www.imdb.com//title/tt1028532/;225352;200;True;
18;LOL;requests;1566654802.586532;-0.7925550937652588;https://www.imdb.com//title/tt7131622/;https://www.imdb.com//title/tt7131622/;225938;200;True;
19;LOL;requests;1566654804.063582;-0.6491031646728516;https://www.imdb.com//title/tt0053198/;https://www.imdb.com//title/tt0053198/;211694;200;True;
20;LOL;requests;1566654805.439975;-1.0254089832305908;https://www.imdb.com//title/tt0062622/;https://www.imdb.com//title/tt0062622/;229572;200;True;
21;LOL;requests;1566654807.156868;-0.6945559978485107;https://www.imdb.com//title/tt2106476/;https://www.imdb.com//title/tt2106476/;217202;200;True;
22;LOL;requests;1566654808.533199;-0.6980569362640381;https://www.imdb.com//title/tt0120815/;https://www.imdb.com//title/tt0120815/;224229;200;True;
23;LOL;requests;1566654809.908708;-0.715519905090332;https://www.imdb.com//title/tt0096283/;https://www.imdb.com//title/tt0096283/;223086;200;True;
24;LOL;requests;1566654811.305821;-0.720534086227417;https://www.imdb.com//title/tt0758758/;https://www.imdb.com//title/tt0758758/;224282;200;True;
25;LOL;requests;1566654812.784481;-1.1242921352386475;https://www.imdb.com//title/tt4633694/;https://www.imdb.com//title/tt4633694/;234478;200;True;
26;LOL;requests;1566654814.589926;-0.8594799041748047;https://www.imdb.com//title/tt0245712/;https://www.imdb.com//title/tt0245712/;220494;200;True;
27;LOL;requests;1566654816.1401541;-0.6363279819488525;https://www.imdb.com//title/tt0073486/;https://www.imdb.com//title/tt0073486/;222793;200;True;
28;LOL;requests;1566654817.455588;-2.1742968559265137;https://www.imdb.com//title/tt4154756/;https://www.imdb.com//title/tt4154756/;250418;200;True;
29;LOL;requests;1566654820.318507;-0.6500251293182373;https://www.imdb.com//title/tt0073707/;https://www.imdb.com//title/tt0073707/;240750;200;True;
30;LOL;requests;1566654821.725306;-0.6928739547729492;https://www.imdb.com//title/tt0118799/;https://www.imdb.com//title/tt0118799/;223439;200;True;
31;LOL;requests;1566654823.0978298;-0.6072943210601807;https://www.imdb.com//title/tt0095765/;https://www.imdb.com//title/tt0095765/;223985;200;True;
32;LOL;requests;1566654824.3833961;-1.6002047061920166;https://www.imdb.com//title/tt0361748/;https://www.imdb.com//title/tt0361748/;237046;200;True;
33;LOL;requests;1566654826.673604;-0.8170909881591797;https://www.imdb.com//title/tt0080684/;https://www.imdb.com//title/tt0080684/;232535;200;True;
34;LOL;requests;1566654828.2664802;-0.754767894744873;https://www.imdb.com//title/tt0087843/;https://www.imdb.com//title/tt0087843/;225684;200;True;
35;LOL;requests;1566654829.712592;-0.9152750968933105;https://www.imdb.com//title/tt0042192/;https://www.imdb.com//title/tt0042192/;216910;200;True;
36;LOL;requests;1566654831.31219;-0.9832749366760254;https://www.imdb.com//title/tt0068646/;https://www.imdb.com//title/tt0068646/;229520;200;True;
37;LOL;requests;1566654832.973842;-0.9232301712036133;https://www.imdb.com//title/tt6966692/;https://www.imdb.com//title/tt6966692/;232085;200;True;
38;LOL;requests;1566654834.589946;-0.7586469650268555;https://www.imdb.com//title/tt0095016/;https://www.imdb.com//title/tt0095016/;224380;200;True;
39;LOL;requests;1566654836.157273;-1.0179758071899414;https://www.imdb.com//title/tt0167261/;https://www.imdb.com//title/tt0167261/;229737;200;True;
40;LOL;requests;1566654837.862577;-0.7484991550445557;https://www.imdb.com//title/tt0038650/;https://www.imdb.com//title/tt0038650/;231397;200;True;
41;LOL;requests;1566654839.375627;-1.097233772277832;https://www.imdb.com//title/tt1345836/;https://www.imdb.com//title/tt1345836/;225275;200;True;
42;LOL;requests;1566654841.1556952;-0.989311933517456;https://www.imdb.com//title/tt0071562/;https://www.imdb.com//title/tt0071562/;236321;200;True;
43;LOL;requests;1566654842.880661;-0.9778380393981934;https://www.imdb.com//title/tt0469494/;https://www.imdb.com//title/tt0469494/;224661;200;True;
44;LOL;requests;1566654844.596097;-0.8964660167694092;https://www.imdb.com//title/tt0040522/;https://www.imdb.com//title/tt0040522/;214749;200;True;
45;LOL;requests;1566654846.200466;-0.6676561832427979;https://www.imdb.com//title/tt0095327/;https://www.imdb.com//title/tt0095327/;221427;200;True;
46;LOL;requests;1566654847.5502589;-0.9236791133880615;https://www.imdb.com//title/tt3315342/;https://www.imdb.com//title/tt3315342/;231384;200;True;
47;LOL;requests;1566654849.159174;-0.8284909725189209;https://www.imdb.com//title/tt0060196/;https://www.imdb.com//title/tt0060196/;228910;200;True;
48;LOL;requests;1566654850.664542;-0.8112571239471436;https://www.imdb.com//title/tt0119217/;https://www.imdb.com//title/tt0119217/;221774;200;True;
49;LOL;requests;1566654852.2168489;-0.8269081115722656;https://www.imdb.com//title/tt0198781/;https://www.imdb.com//title/tt0198781/;228573;200;True;
50;LOL;requests;1566654853.7267299;-0.6566081047058105;https://www.imdb.com//title/tt0910970/;https://www.imdb.com//title/tt0910970/;230068;200;True;
51;LOL;requests;1566654855.066478;-0.6767911911010742;https://www.imdb.com//title/tt0477348/;https://www.imdb.com//title/tt0477348/;228310;200;True;
52;LOL;requests;1566654856.4259598;-0.6105332374572754;https://www.imdb.com//title/tt0055630/;https://www.imdb.com//title/tt0055630/;215163;200;True;
53;LOL;requests;1566654857.762091;-0.6722760200500488;https://www.imdb.com//title/tt0091251/;https://www.imdb.com//title/tt0091251/;213708;200;True;
54;LOL;requests;1566654859.107882;-0.7653710842132568;https://www.imdb.com//title/tt1853728/;https://www.imdb.com//title/tt1853728/;228461;200;True;
